,City,Lat,Lng,Cloudiness,Max Temp,Humidity,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,1,15.8,92,18.41,US,1619382310
1,Mar del Plata,-38.0023,-57.5575,40,64.0,67,11.5,AR,1619382572
2,Rikitea,-23.1203,-134.9692,100,77.86,74,8.1,PF,1619382377
3,Flin Flon,54.7682,-101.865,90,41.0,36,9.22,CA,1619382573
4,Portland,45.5234,-122.6762,90,59.0,51,5.75,US,1619382425
5,Itoman,26.1247,127.6694,20,66.2,77,6.91,JP,1619382573
6,Kavaratti,10.5669,72.642,1,84.06,72,8.37,IN,1619382574
7,Sherpur,25.0188,90.0175,0,81.84,28,6.67,BD,1619382574
8,Raudeberg,61.9875,5.1352,49,39.99,67,12.01,NO,1619382574
9,Punta Arenas,-53.15,-70.9167,75,57.2,62,19.57,CL,1619382439
10,Shelburne,44.0787,-80.2041,88,41.0,80,19.19,CA,1619382575
11,Sault Ste. Marie,46.5168,-84.3333,20,37.4,52,14.97,CA,1619382533
12,Srednekolymsk,67.45,153.6833,34,9.68,89,5.19,RU,1619382575
13,Hobart,-42.8794,147.3294,75,57.2,62,17.27,AU,1619382574
14,Boca del Rio,19.1,-96.1,20,87.01,70,16.11,MX,1619382535
15,Deputatsky,69.3,139.9,100,18.28,93,4.83,RU,1619382522
16,Chui,-33.6971,-53.4616,98,62.31,83,12.64,UY,1619382576
17,Wenling,28.3669,121.36,68,62.01,80,6.38,CN,1619381797
18,Atuona,-9.8,-139.0333,50,79.92,72,15.3,PF,1619382577
19,Tiksi,71.6872,128.8694,100,22.96,96,1.72,RU,1619382410
20,Mahébourg,-20.4081,57.7,75,75.2,94,12.66,MU,1619382419
21,Pacific Grove,36.6177,-121.9166,90,60.8,59,10.36,US,1619382348
22,Ushuaia,-54.8,-68.3,20,55.4,50,16.11,AR,1619382503
23,Port Alfred,-33.5906,26.891,100,70.36,65,13.11,ZA,1619382578
24,Champerico,14.3,-91.9167,40,91.4,62,6.91,GT,1619382578
25,Saskylakh,71.9167,114.0833,100,16.18,95,14.07,RU,1619382492
26,Busselton,-33.65,115.3333,100,52.0,97,4.36,AU,1619382384
27,Mataura,-46.1927,168.8643,72,46.0,80,11.99,NZ,1619382450
28,Vaini,-21.2,-175.2,75,75.2,100,5.75,TO,1619382579
29,Puerto Ayora,-0.7393,-90.3518,20,84.2,65,17.27,EC,1619382580
30,San Patricio,28.017,-97.5169,1,87.8,42,12.66,US,1619382580
31,Los Llanos de Aridane,28.6585,-17.9182,75,69.8,64,3.44,ES,1619382392
32,Yangi Marg`ilon,40.4272,71.7189,0,60.8,51,2.3,UZ,1619382580
33,Albany,42.6001,-73.9662,90,57.2,67,8.05,US,1619382301
34,Laas,46.6166,10.7002,0,59.0,61,3.44,IT,1619382581
35,Caucayá,-0.1934,-74.7819,72,84.09,69,3.11,CO,1619382581
36,Bredasdorp,-34.5322,20.0403,100,53.6,94,2.28,ZA,1619382582
37,Amahai,-3.3333,128.9167,99,77.95,79,3.38,ID,1619382353
38,Lovozero,68.005,35.0117,100,29.84,96,12.91,RU,1619382583
39,Hithadhoo,-0.6,73.0833,99,82.56,68,4.52,MV,1619382393
40,Hermanus,-34.4187,19.2345,100,63.0,86,1.01,ZA,1619382457
41,Avarua,-21.2078,-159.775,40,82.4,78,10.36,CK,1619382583
42,La Ronge,55.1001,-105.2842,100,39.2,52,12.66,CA,1619382584
43,Brattvåg,62.6002,6.4434,75,37.4,70,5.75,NO,1619382584
44,Butaritari,3.0707,172.7902,19,82.36,76,12.17,KI,1619382584
45,Ostrovnoy,68.0531,39.5131,100,34.07,98,19.91,RU,1619382390
46,Saint-Philippe,-21.3585,55.7679,40,78.8,73,20.71,RE,1619382585
47,Pisco,-13.7,-76.2167,20,71.01,83,11.5,PE,1619382132
48,Tarbagatay,51.4803,107.3602,75,39.2,65,20.13,RU,1619382586
49,Humaitá,-7.5061,-63.0208,66,90.95,54,1.95,BR,1619382443
50,Kuytun,54.3419,101.5036,88,30.38,87,9.48,RU,1619382229
51,Sri Aman,1.2376,111.4621,93,75.2,94,0.6,MY,1619382586
52,Santiago del Estero,-27.7951,-64.2615,0,74.26,39,6.91,AR,1619382352
53,Yellowknife,62.456,-114.3525,90,12.0,66,10.36,CA,1619382567
54,Coxim,-18.5067,-54.76,100,78.46,54,9.8,BR,1619382587
55,Tasiilaq,65.6145,-37.6368,90,37.4,70,19.57,GL,1619382386
56,Teguise,29.0605,-13.564,20,69.8,64,12.66,ES,1619382588
57,Kapaa,22.0752,-159.319,40,80.6,61,16.11,US,1619382588
58,Biltine,14.5333,20.9167,99,90.07,23,5.32,TD,1619382160
59,Chokurdakh,70.6333,147.9167,100,19.27,94,14.25,RU,1619382589
60,Arrecife,28.963,-13.5477,20,69.8,64,12.66,ES,1619382497
61,Cape Town,-33.9258,18.4232,20,62.01,94,8.05,ZA,1619382589
62,Kommunisticheskiy,61.6789,64.4819,100,45.19,57,11.81,RU,1619382589
63,Bambanglipuro,-7.95,110.2833,82,75.09,86,3.8,ID,1619382291
64,Trindade,-16.6494,-49.4889,40,82.4,47,5.75,BR,1619382590
65,Lázaro Cárdenas,17.9583,-102.2,100,84.6,51,10.16,MX,1619382356
66,Castro,-24.7911,-50.0119,100,64.26,85,4.74,BR,1619382591
67,Waddān,29.1614,16.139,1,68.2,44,10.0,LY,1619382304
68,Padang,-0.9492,100.3543,92,77.59,85,3.36,ID,1619382121
69,Yeppoon,-23.1333,150.7333,21,62.6,82,6.91,AU,1619382591
70,Varhaug,58.6147,5.6457,8,39.99,77,4.0,NO,1619382592
71,Xicoténcatl,23.0167,-98.8833,4,97.0,42,8.99,MX,1619382592
72,Luncaviţa,45.2833,28.2667,95,45.0,87,6.91,RO,1619382592
73,Harper,4.375,-7.7169,100,80.1,81,8.97,LR,1619382565
74,Khatanga,71.9667,102.5,78,4.59,88,14.72,RU,1619382593
75,Port Elizabeth,-33.918,25.5701,40,59.0,88,2.3,ZA,1619382593
76,Kualakapuas,-3.0091,114.3876,90,78.8,94,6.91,ID,1619382593
77,Staryy Nadym,65.6118,72.6842,100,32.81,97,13.2,RU,1619382594
78,Tawang Town,27.5833,91.8667,6,40.8,75,6.15,IN,1619382595
79,Nanortalik,60.1432,-45.2371,100,41.86,75,12.8,GL,1619382596
80,Ancud,-41.8697,-73.8203,75,60.01,82,4.61,CL,1619382597
81,Inuvik,68.3499,-133.7218,100,19.4,73,6.91,CA,1619382476
82,Dikson,73.5069,80.5464,100,16.52,91,11.3,RU,1619382401
83,Cabo San Lucas,22.8909,-109.9124,75,84.99,32,9.22,MX,1619382436
84,Tuktoyaktuk,69.4541,-133.0374,90,12.2,85,10.36,CA,1619382598
85,Ilulissat,69.2167,-51.1,95,50.0,43,11.5,GL,1619382481
86,Hargeisa,9.56,44.065,100,66.69,88,0.49,SO,1619382599
87,East London,-33.0153,27.9116,100,68.4,75,11.23,ZA,1619382599
88,Haines Junction,60.7522,-137.5108,0,50.0,27,4.61,CA,1619382600
89,São Filipe,14.8961,-24.4956,62,72.59,71,10.58,CV,1619382600
90,Carnarvon,-24.8667,113.6333,0,62.6,72,5.75,AU,1619382466
91,Verāval,20.9,70.3667,8,81.23,82,11.36,IN,1619382424
92,Miragoâne,18.4423,-73.0876,37,83.86,64,9.64,HT,1619382601
93,Hilo,19.7297,-155.09,75,80.6,57,3.44,US,1619382601
94,Probolinggo,-7.7543,113.2159,20,80.6,83,3.44,ID,1619382602
95,Izumo,35.3667,132.7667,20,51.8,46,14.97,JP,1619382602
96,Juneau,58.3019,-134.4197,20,57.0,33,6.91,US,1619382322
97,Marsabit,2.3284,37.9899,97,68.59,67,4.7,KE,1619382603
98,Bezhetsk,57.7851,36.6965,100,34.2,83,14.99,RU,1619382603
99,Longyearbyen,78.2186,15.6401,40,19.4,63,12.66,SJ,1619382604
100,Alice Springs,-23.7,133.8833,0,46.4,66,4.61,AU,1619382469
101,Charters Towers,-20.1,146.2667,99,67.91,87,8.86,AU,1619382604
102,San Felipe,10.3399,-68.7425,89,78.28,77,9.13,VE,1619382605
103,Esperance,-33.8667,121.9,0,59.0,63,17.27,AU,1619382605
104,Srīvardhan,18.0333,73.0167,55,81.18,83,5.28,IN,1619382606
105,Labuhan,-6.8844,112.2051,84,77.11,86,7.25,ID,1619381937
106,Two Rivers,44.1539,-87.5693,1,41.0,56,11.5,US,1619382606
107,San Cristobal,7.7669,-72.225,40,89.6,55,11.5,VE,1619382574
108,Sharhorod,48.7383,28.085,100,45.0,78,8.99,UA,1619382607
109,Yomou,7.5603,-9.2653,74,73.31,83,2.48,GN,1619382607
110,Qaanaaq,77.484,-69.3632,27,31.48,74,4.07,GL,1619382507
111,Launceston,-41.45,147.1667,83,50.0,93,8.05,AU,1619382608
112,Geraldton,-28.7667,114.6,0,62.6,63,10.36,AU,1619382475
113,Tiarei,-17.5333,-149.3333,40,84.2,70,8.05,PF,1619382536
114,Qaqortoq,60.7167,-46.0333,75,50.0,32,19.57,GL,1619382608
115,Jamestown,42.097,-79.2353,90,45.0,75,14.97,US,1619382609
116,Flinders,-34.5833,150.8552,16,50.0,86,1.01,AU,1619382378
117,Hofn,64.2539,-15.2082,100,43.03,88,12.93,IS,1619382609
118,Samarai,-10.6167,150.6667,94,82.47,78,12.01,PG,1619382021
119,Kjøllefjord,70.9457,27.3465,75,33.8,75,13.8,NO,1619382610
120,Namatanai,-3.6667,152.4333,86,80.04,80,1.74,PG,1619382611
121,Boyolangu,-8.1181,111.8935,91,75.22,89,1.7,ID,1619382612
122,Balikpapan,-1.2675,116.8289,85,74.82,89,2.89,ID,1619382612
123,Quelimane,-17.8786,36.8883,0,77.0,88,5.75,MZ,1619382612
124,Morristown,36.214,-83.2949,90,64.0,51,3.44,US,1619382613
125,Marsá Maţrūḩ,31.3525,27.2453,40,64.4,82,9.22,EG,1619382613
126,Bengkulu,-3.8004,102.2655,66,75.54,89,4.54,ID,1619382613
127,Provideniya,64.3833,-173.3,0,35.6,69,4.47,RU,1619382533
128,Grão Mogol,-16.5594,-42.8897,21,73.69,51,1.7,BR,1619382614
129,Harlingen,26.1906,-97.6961,1,91.0,37,13.8,US,1619382531
130,Puerto Quijarro,-17.7833,-57.7667,100,68.88,94,5.57,BO,1619382615
131,Nikolskoye,59.7035,30.7861,90,39.0,93,8.95,RU,1619382403
132,Touros,-5.1989,-35.4608,20,82.4,74,12.66,BR,1619382615
133,Butler,39.4501,-84.5666,1,63.0,36,8.05,US,1619382616
134,Arrondissement de Morlaix,48.5833,-4.0,0,50.0,76,19.57,FR,1619382616
135,Klaksvík,62.2266,-6.589,100,44.6,100,12.66,FO,1619382490
136,Isparta Province,38.0,31.0,75,57.2,67,14.97,TR,1619381973
137,Meulaboh,4.1363,96.1285,82,76.87,86,4.36,ID,1619382104
138,George Town,5.4112,100.3354,20,81.0,94,3.44,MY,1619382617
139,West Bay,19.3667,-81.4167,20,84.99,70,8.05,KY,1619382617
140,Vardø,70.3705,31.1107,20,33.8,69,13.8,NO,1619382483
141,Rome,43.2128,-75.4557,90,55.99,62,11.5,US,1619382618
142,Talnakh,69.4865,88.3972,82,-2.22,95,2.35,RU,1619382388
143,Vredendal,-31.6683,18.5012,100,60.76,81,2.57,ZA,1619382618
144,Cidreira,-30.1811,-50.2056,83,70.0,69,14.12,BR,1619382412
145,Glenwood Springs,39.5505,-107.3248,56,70.0,39,18.41,US,1619382619
146,Patan,27.6667,85.3333,20,64.4,63,3.44,NP,1619382619
147,Noumea,-22.2763,166.4572,75,77.0,100,6.29,NC,1619382396
148,Lüderitz,-26.6481,15.1594,93,61.93,90,3.18,NA,1619382620
149,Bom Jardim,-7.7958,-35.5872,20,82.4,65,17.27,BR,1619382621
150,Olafsvik,64.8945,-23.7142,12,43.77,84,8.7,IS,1619382406
151,Lebu,-37.6167,-73.65,0,58.5,81,11.86,CL,1619382621
152,Batemans Bay,-35.7167,150.1833,8,48.99,91,1.99,AU,1619382622
153,Kovdor,67.5662,30.4758,100,28.58,87,12.33,RU,1619382182
154,Okhotsk,59.3833,143.3,0,17.11,70,10.36,RU,1619382622
155,Buraidah,26.326,43.975,75,86.0,32,18.41,SA,1619382508
156,Porto Velho,-8.7619,-63.9039,40,75.2,94,2.3,BR,1619382623
157,Vénissieux,45.7025,4.8715,0,66.2,34,1.14,FR,1619382623
158,Muros,42.7762,-9.0603,90,60.01,88,2.95,ES,1619382623
159,Bethel,41.3712,-73.414,75,59.0,58,6.91,US,1619382421
160,San José de Gracia,20.6667,-102.5833,99,88.45,13,6.69,MX,1619382624
161,Nizwá,22.9333,57.5333,70,81.37,20,4.05,OM,1619382181
162,Kivsharivka,49.6213,37.7036,29,41.65,55,6.17,UA,1619382625
163,Grand Gaube,-20.0064,57.6608,100,78.01,83,8.99,MU,1619382454
164,Khandyga,62.6667,135.6,100,18.48,88,4.21,RU,1619382625
165,Upernavik,72.7868,-56.1549,22,36.01,83,5.19,GL,1619382626
166,Waipawa,-41.4122,175.5153,75,52.0,76,3.44,NZ,1619381839
167,Hualmay,-11.0964,-77.6139,15,71.37,75,7.92,PE,1619382229
168,Canala,-21.5333,165.95,75,69.8,100,5.88,NC,1619382626
169,Moyamba,8.1667,-12.4333,81,77.58,84,4.41,SL,1619382627
170,Darhan,49.4867,105.9228,100,34.79,90,10.16,MN,1619382627
171,Buluang,13.3068,123.3425,21,73.51,93,4.12,PH,1619382627
172,Vyritsa,59.4078,30.3481,90,37.4,93,8.95,RU,1619382628
173,Tessalit,20.1986,1.0114,0,92.59,6,7.34,ML,1619382128
174,Sidi Ali,36.0998,0.4206,100,62.01,80,21.88,DZ,1619382628
175,Nālūt,30.3333,10.85,31,75.13,18,16.87,LY,1619382629
176,Bangolo,7.0069,-7.475,100,74.89,80,2.06,CI,1619382629
177,Birao,10.2849,22.7882,97,76.17,67,8.59,CF,1619382628
178,Clyde River,70.4692,-68.5914,90,21.2,93,28.77,CA,1619382578
179,Airai,-8.9266,125.4092,23,54.97,83,1.63,TL,1619382589
180,Oistins,13.0667,-59.5333,20,84.2,51,18.41,BB,1619382630
181,Morant Bay,17.8815,-76.4093,40,82.99,78,13.8,JM,1619382630
182,Baruun-Urt,46.6806,113.2792,95,48.78,65,18.48,MN,1619382125
183,Burnie,-41.0667,145.9167,87,52.0,80,7.0,AU,1619382446
184,Mumbai,19.0144,72.8479,40,86.0,89,6.91,IN,1619382519
185,Liverpool,53.4106,-2.9779,6,53.6,58,11.5,GB,1619381857
186,Guerrero Negro,27.9769,-114.0611,99,67.71,55,15.7,MX,1619382625
187,Fortuna,40.5982,-124.1573,75,55.0,87,8.05,US,1619382456
188,Bluff,-46.6,168.3333,76,46.0,80,11.01,NZ,1619382631
189,Kralendijk,12.15,-68.2667,75,84.2,70,17.27,BQ,1619382573
190,Tara,56.8944,74.371,100,42.82,58,10.47,RU,1619382423
191,Havre-St-Pierre,50.2334,-63.5986,1,50.0,40,6.91,CA,1619382632
192,Faanui,-16.4833,-151.75,4,81.05,64,2.89,PF,1619382632
193,Severo-Kuril'sk,50.6789,156.125,100,32.02,97,11.59,RU,1619382633
194,Quatre Cocos,-20.2078,57.7625,75,78.01,94,12.66,MU,1619382633
195,Shaoyang,27.2315,111.4525,100,57.88,93,1.99,CN,1619382633
196,Suzaka,36.65,138.3167,17,37.0,67,5.86,JP,1619382634
197,Port Hueneme,34.1478,-119.1951,90,63.0,59,11.5,US,1619382634
198,Zhigansk,66.7697,123.3711,100,32.5,99,8.39,RU,1619382394
199,Eilat,29.5581,34.9482,0,82.4,32,5.75,IL,1619382263
200,Guangming,45.3333,122.7833,100,49.23,29,7.85,CN,1619382635
201,Talas,38.6908,35.5538,75,57.2,67,1.86,TR,1619382635
202,Preston,53.7667,-2.7167,0,51.8,58,9.22,GB,1619381962
203,Oddur,4.1213,43.8894,95,78.85,63,12.08,SO,1619382129
204,Kiryat Gat,31.61,34.7642,0,73.0,45,3.0,IL,1619382228
205,Kaitangata,-46.2817,169.8464,84,37.0,73,1.99,NZ,1619382636
206,Zhangaözen,43.3,52.8,11,64.74,36,1.43,KZ,1619382453
207,Labuan,5.2767,115.2417,20,77.0,100,4.09,MY,1619382637
208,Gamba,-2.65,10.0,86,78.69,87,4.45,GA,1619382268
209,Tabas,33.5959,56.9244,100,80.47,18,4.99,IR,1619382637
210,Broome,42.2506,-75.833,90,57.0,62,10.36,US,1619382638
211,Bandarbeyla,9.4942,50.8122,64,83.01,72,8.39,SO,1619381859
212,Jumla,29.2747,82.1838,0,46.35,47,4.14,NP,1619382204
213,Ossora,59.2353,163.0719,100,31.87,90,4.05,RU,1619382446
214,Sibolga,1.7427,98.7792,52,76.32,84,2.93,ID,1619382106
215,Kloulklubed,7.0419,134.2556,90,77.0,88,10.36,PW,1619381914
216,Kruisfontein,-34.0033,24.7314,100,72.75,38,5.53,ZA,1619382479
217,Seoul,37.5683,126.9778,0,53.6,58,8.05,KR,1619382054
218,High Rock,26.6208,-78.2833,40,84.2,74,13.8,BS,1619382639
219,Arraial do Cabo,-22.9661,-42.0278,0,77.0,78,8.05,BR,1619382432
220,Henties Bay,-22.116,14.2845,23,62.01,90,3.0,NA,1619382639
221,Narsaq,60.9167,-46.05,75,50.0,32,19.57,GL,1619382640
222,Shakawe,-18.3667,21.85,78,71.31,32,4.99,BW,1619382426
223,Rāmgarh,23.6333,85.5167,40,84.2,39,7.31,IN,1619382640
224,Kokopo,-4.352,152.2633,94,77.76,84,4.0,PG,1619382077
225,Torbay,47.6666,-52.7314,20,51.8,40,19.57,CA,1619382562
226,Bulgan,48.8125,103.5347,100,29.98,76,12.01,MN,1619382437
227,Nizhniy Kuranakh,58.8353,125.4869,100,33.93,99,3.74,RU,1619382641
228,Plettenberg Bay,-34.0527,23.3716,100,66.22,71,5.23,ZA,1619382465
229,Alofi,-19.0595,-169.9187,40,82.4,78,3.44,NU,1619382407
230,Quimper,48.0,-4.1,0,51.8,66,16.11,FR,1619382642
231,Kaseda-shirakame,31.4167,130.3167,100,60.17,80,6.35,JP,1619382528
232,Iskateley,67.6803,53.1512,100,38.17,90,7.63,RU,1619382642
233,Katherine,-14.4667,132.2667,40,71.6,78,3.44,AU,1619382374
234,Vila Franca do Campo,37.7167,-25.4333,75,59.0,77,10.36,PT,1619382643
235,Katsuura,35.1333,140.3,20,50.0,43,21.85,JP,1619382643
236,Asău,46.4333,26.4,18,45.0,44,5.66,RO,1619382644
237,Batagay-Alyta,67.8006,130.4114,100,12.31,89,5.93,RU,1619382456
238,Leningradskiy,69.3833,178.4167,100,21.16,86,2.35,RU,1619382442
239,Tonstad,58.6626,6.7169,5,39.99,77,4.0,NO,1619382644
240,New Norfolk,-42.7826,147.0587,97,55.99,75,5.01,AU,1619382645
241,Dawei,14.0833,98.2,100,76.53,89,0.89,MM,1619382307
242,Molina,-35.1167,-71.2833,0,69.8,46,9.22,CL,1619382601
243,Tongliao,43.6125,122.2653,100,49.46,28,8.1,CN,1619382640
244,Vanavara,60.34,102.2797,74,31.35,97,7.61,RU,1619382645
245,Lesnoy,57.6198,63.0784,86,43.07,82,5.59,RU,1619382575
246,Oron,4.8256,8.2343,39,79.54,85,5.17,NG,1619382646
247,Akureyri,65.6835,-18.0878,90,37.4,93,14.97,IS,1619382646
248,Mangai,-4.05,19.5333,45,70.21,95,1.1,CD,1619382647
249,Half Moon Bay,37.4636,-122.4286,90,57.99,87,14.97,US,1619382647
250,Karpathos,35.507,27.2132,41,60.8,77,43.73,GR,1619382647
251,Riva,38.9521,-76.578,75,66.0,45,17.27,US,1619382648
252,Luancheng,37.8792,114.6517,100,55.4,71,2.24,CN,1619382648
253,Bintulu,3.1667,113.0333,20,77.0,94,4.61,MY,1619382636
254,Imbituba,-28.24,-48.6703,75,73.4,78,9.22,BR,1619382041
255,Cabedelo,-6.9811,-34.8339,0,80.6,78,12.66,BR,1619382090
256,Pacifica,37.6138,-122.4869,90,54.0,87,14.97,US,1619382649
257,Chicama,-7.8447,-79.1469,0,66.2,82,10.36,PE,1619382649
258,Turaif,31.6725,38.6637,0,80.6,22,4.61,SA,1619382380
259,Mount Gambier,-37.8333,140.7667,90,51.8,93,8.05,AU,1619382650
260,Monroe,43.1501,-77.6831,75,53.6,50,19.57,US,1619382650
261,Develi,38.3906,35.4922,75,57.2,67,4.43,TR,1619382651
262,Ribeira Grande,38.5167,-28.7,20,62.6,67,3.44,PT,1619382406
263,Sangar,63.9242,127.4739,100,25.5,94,12.1,RU,1619382263
264,Şabrātah,32.7933,12.4885,2,64.2,68,16.87,LY,1619382651
265,Banda Aceh,5.5577,95.3222,89,79.66,77,7.4,ID,1619382598
266,Miraflores,19.2167,-98.8083,40,84.2,23,6.91,MX,1619382652
267,Bambous Virieux,-20.3428,57.7575,75,78.01,94,12.66,MU,1619382652
268,Healdsburg,38.6105,-122.8692,75,57.0,82,9.22,US,1619382259
269,Saint Paul Harbor,57.79,-152.4072,90,42.8,81,12.66,US,1619382653
270,Thouars,46.976,-0.2151,100,60.01,44,15.26,FR,1619382653
271,Shumskiy,54.8318,99.1328,58,32.18,80,7.16,RU,1619382654
272,Atar,20.5169,-13.0499,0,86.05,14,8.93,MR,1619382218
273,Omsukchan,62.5333,155.8,100,9.32,92,1.77,RU,1619382199
